date,total_comedy
2020-10-17,1.0
2020-10-18,2.0
2020-10-19,1.0
2020-10-20,1.0
2020-10-21,1.0
2020-10-22,1.0
2020-10-23,1.0
2020-10-24,1.0
2020-10-25,1.0
2020-10-26,1.0
2020-10-27,1.0
2020-10-28,1.0
2020-10-29,1.0
2020-10-30,1.0
2020-10-31,1.0
2020-11-01,1.0
2020-11-02,1.0
2020-11-03,1.0
2020-11-04,1.0
2020-11-05,1.0
2020-11-06,1.0
2020-11-07,2.0
2020-11-08,1.0
2020-11-09,3.0
2020-11-10,4.0
2020-11-11,2.0
2020-11-12,1.0
2020-11-13,1.0
2020-11-14,1.0
2020-11-15,2.0
2020-11-16,1.0
2020-11-17,1.0
2020-11-18,1.0
2020-11-19,1.0
2020-11-20,1.0
2020-11-21,2.0
2020-11-22,1.0
2020-11-23,1.0
2020-11-24,1.0
2020-11-25,1.0
2020-11-26,1.0
2020-11-27,1.0
2020-11-28,1.0
2020-11-29,1.0
2020-11-30,1.0
2020-12-01,1.0
2020-12-02,1.0
2020-12-03,1.0
2020-12-04,1.0
2020-12-05,2.0
2020-12-06,1.0
2020-12-07,1.0
2020-12-08,1.0
2020-12-09,1.0
2020-12-10,1.0
2020-12-11,1.0
2020-12-12,1.0
2020-12-13,2.0
2020-12-14,1.0
2020-12-15,1.0
2020-12-16,1.0
2020-12-17,1.0
2020-12-18,1.0
2020-12-19,2.0
2020-12-20,1.0
2020-12-21,1.0
2020-12-22,1.0
2020-12-23,1.0
2020-12-24,1.0
2020-12-25,1.0
2020-12-26,1.0
2020-12-27,1.0
2020-12-28,0.0
2020-12-29,1.0
2020-12-30,1.0
2020-12-31,1.0
2021-01-01,1.0
2021-01-02,2.0
2021-01-03,0.0
2021-01-04,1.0
2021-01-05,0.0
2021-01-06,1.0
2021-01-07,1.0
2021-01-08,1.0
2021-01-09,2.0
2021-01-10,0.0
2021-01-11,1.0
2021-01-12,0.0
2021-01-13,1.0
2021-01-14,1.0
2021-01-15,1.0
2021-01-16,2.0
2021-01-17,0.0
2021-01-18,1.0
2021-01-19,0.0
2021-01-20,1.0
2021-01-21,1.0
2021-01-22,1.0
2021-01-23,2.0
2021-01-24,0.0
2021-01-25,1.0
2021-01-26,0.0
2021-01-27,1.0
2021-01-28,1.0
2021-01-29,1.0
2021-01-30,2.0
2021-01-31,0.0
2021-02-01,1.0
2021-02-02,0.0
2021-02-03,1.0
2021-02-04,1.0
2021-02-05,2.0
2021-02-06,3.0
2021-02-07,0.0
2021-02-08,1.0
2021-02-09,0.0
2021-02-10,1.0
2021-02-11,1.0
2021-02-12,1.0
2021-02-13,2.0
2021-02-14,0.0
2021-02-15,1.0
2021-02-16,0.0
2021-02-17,1.0
2021-02-18,1.0
2021-02-19,2.0
2021-02-20,2.0
2021-02-21,0.0
2021-02-22,1.0
2021-02-23,0.0
2021-02-24,1.0
2021-02-25,1.0
2021-02-26,1.0
2021-02-27,2.0
2021-02-28,0.0
2021-03-01,1.0
2021-03-02,1.0
2021-03-03,3.0
2021-03-04,1.0
2021-03-05,1.0
2021-03-06,2.0
2021-03-07,0.0
2021-03-08,1.0
2021-03-09,0.0
2021-03-10,1.0
2021-03-11,1.0
2021-03-12,1.0
2021-03-13,2.0
2021-03-14,0.0
2021-03-15,1.0
2021-03-16,0.0
2021-03-17,1.0
2021-03-18,1.0
2021-03-19,2.0
2021-03-20,2.0
2021-03-21,0.0
2021-03-22,2.0
2021-03-23,0.0
2021-03-24,1.0
2021-03-25,1.0
2021-03-26,1.0
2021-03-27,1.0
2021-03-28,0.0
2021-03-29,2.0
2021-03-30,0.0
2021-03-31,1.0
2021-04-01,1.0
2021-04-02,2.0
2021-04-03,1.0
2021-04-04,0.0
2021-04-05,1.0
2021-04-06,0.0
2021-04-07,3.0
2021-04-08,1.0
2021-04-09,1.0
2021-04-10,1.0
2021-04-11,0.0
2021-04-12,2.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,2.0
2021-04-16,2.0
2021-04-17,2.0
2021-04-18,0.0
2021-04-19,1.0
2021-04-20,0.0
2021-04-21,2.0
2021-04-22,3.0
2021-04-23,1.0
2021-04-24,2.0
2021-04-25,0.0
2021-04-26,2.0
2021-04-27,0.0
2021-04-28,1.0
2021-04-29,0.0
2021-04-30,1.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,1.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,1.0
2021-05-11,1.0
2021-05-12,1.0
2021-05-13,2.0
2021-05-14,2.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,3.0
2021-05-19,4.0
2021-05-20,3.0
2021-05-21,4.0
2021-05-22,1.0
2021-05-23,6.0
2021-05-24,2.0
2021-05-25,4.0
2021-05-26,2.0
2021-05-27,9.0
2021-05-28,6.0
2021-05-29,6.0
2021-05-30,22.0
2021-05-31,4.0
2021-06-01,4.0
2021-06-02,4.0
2021-06-03,9.0
2021-06-04,12.0
2021-06-05,10.0
2021-06-06,3.0
2021-06-07,1.0
2021-06-08,5.0
2021-06-09,5.0
2021-06-10,5.0
2021-06-11,10.0
2021-06-12,7.0
2021-06-13,5.0
2021-06-14,4.0
2021-06-15,5.0
2021-06-16,9.0
2021-06-17,9.0
2021-06-18,10.0
2021-06-19,10.0
2021-06-20,5.0
2021-06-21,2.0
2021-06-22,6.0
2021-06-23,8.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,6.0
2021-06-29,6.0
2021-06-30,7.0
2021-07-01,5.0
2021-07-02,12.0
2021-07-03,9.0
2021-07-04,1.0
2021-07-05,2.0
2021-07-06,3.0
2021-07-07,8.0
2021-07-08,8.0
2021-07-09,12.0
2021-07-10,15.0
2021-07-11,7.0
2021-07-12,3.0
2021-07-13,7.0
2021-07-14,6.0
2021-07-15,5.0
2021-07-16,11.0
2021-07-17,14.0
2021-07-18,8.0
2021-07-19,6.0
2021-07-20,10.0
2021-07-21,9.0
2021-07-22,14.0
2021-07-23,17.0
2021-07-24,20.0
2021-07-25,1.0
2021-07-26,10.0
2021-07-27,13.0
2021-07-28,13.0
2021-07-29,14.0
2021-07-30,20.0
2021-07-31,20.0
2021-08-01,9.0
2021-08-02,9.0
2021-08-03,11.0
2021-08-04,11.0
2021-08-05,14.0
2021-08-06,18.0
2021-08-07,26.0
2021-08-08,15.0
2021-08-09,10.0
2021-08-10,14.0
2021-08-11,16.0
2021-08-12,14.0
2021-08-13,18.0
2021-08-14,29.0
2021-08-15,15.0
2021-08-16,8.0
2021-08-17,10.0
2021-08-18,14.0
2021-08-19,11.0
2021-08-20,17.0
2021-08-21,21.0
2021-08-22,10.0
2021-08-23,5.0
2021-08-24,0.0
2021-08-25,12.0
2021-08-26,10.0
2021-08-27,23.0
2021-08-28,28.0
2021-08-29,14.0
2021-08-30,8.0
2021-08-31,9.0
2021-09-01,14.0
2021-09-02,14.0
2021-09-03,20.0
2021-09-04,30.0
2021-09-05,15.0
2021-09-06,8.0
2021-09-07,10.0
2021-09-08,15.0
2021-09-09,8.0
2021-09-10,13.0
2021-09-11,9.0
2021-09-12,6.0
2021-09-13,0.0
2021-09-14,6.0
2021-09-15,9.0
2021-09-16,6.0
2021-09-17,0.0
2021-09-18,12.0
2021-09-19,7.0
2021-09-20,4.0
2021-09-21,9.0
2021-09-22,8.0
2021-09-23,8.0
2021-09-24,13.0
2021-09-25,8.0
2021-09-26,5.0
2021-09-27,5.0
2021-09-28,5.0
2021-09-29,9.0
2021-09-30,6.0
2021-10-01,2.0
2021-10-02,5.0
2021-10-03,6.0
2021-10-04,4.0
2021-10-05,4.0
2021-10-06,7.0
2021-10-07,3.0
2021-10-08,10.0
2021-10-09,6.0
2021-10-10,4.0
2021-10-11,7.0
2021-10-12,5.0
2021-10-13,5.0
2021-10-14,5.0
2021-10-15,13.0
2021-10-16,7.0
2021-10-17,9.0
2021-10-18,4.0
2021-10-19,5.0
2021-10-20,7.0
2021-10-21,9.0
2021-10-22,11.0
2021-10-23,11.0
2021-10-24,3.0
2021-10-25,6.0
2021-10-26,8.0
2021-10-27,7.0
2021-10-28,7.0
2021-10-29,10.0
2021-10-30,9.0
2021-10-31,3.0
2021-11-01,5.0
2021-11-02,6.0
2021-11-03,9.0
2021-11-04,10.0
2021-11-05,12.0
2021-11-06,7.0
2021-11-07,7.0
2021-11-08,9.0
2021-11-09,9.0
2021-11-10,9.0
2021-11-11,13.0
2021-11-12,13.0
2021-11-13,16.0
2021-11-14,7.0
2021-11-15,4.0
2021-11-16,5.0
2021-11-17,10.0
2021-11-18,5.0
2021-11-19,4.0
2021-11-20,6.0
2021-11-21,6.0
2021-11-22,4.0
2021-11-23,3.0
2021-11-24,6.0
2021-11-25,1.0
2021-11-26,10.0
2021-11-27,2.0
2021-11-28,3.0
2021-11-29,3.0
2021-11-30,6.0
2021-12-01,8.0
2021-12-02,8.0
2021-12-03,12.0
2021-12-04,13.0
2021-12-05,8.0
2021-12-06,7.0
2021-12-07,8.0
2021-12-08,10.0
2021-12-09,6.0
2021-12-10,10.0
2021-12-11,13.0
2021-12-12,9.0
2021-12-13,4.0
2021-12-14,8.0
2021-12-15,10.0
2021-12-16,10.0
2021-12-17,9.0
2021-12-18,11.0
2021-12-19,9.0
2021-12-20,3.0
2021-12-21,4.0
2021-12-22,9.0
2021-12-23,12.0
2021-12-24,15.0
2021-12-25,7.0
2021-12-26,11.0
2021-12-27,12.0
2021-12-28,11.0
2021-12-29,14.0
2021-12-30,12.0
2021-12-31,6.0
2022-01-01,8.0
2022-01-02,3.0
2022-01-03,1.0
2022-01-04,1.0
2022-01-05,6.0
2022-01-06,4.0
2022-01-07,2.0
2022-01-08,8.0
2022-01-09,8.0
2022-01-10,3.0
2022-01-11,5.0
2022-01-12,5.0
2022-01-13,7.0
2022-01-14,4.0
2022-01-15,10.0
2022-01-16,7.0
2022-01-17,4.0
2022-01-18,6.0
2022-01-19,7.0
2022-01-20,6.0
2022-01-21,10.0
2022-01-22,20.0
2022-01-23,9.0
2022-01-24,5.0
2022-01-25,7.0
2022-01-26,7.0
2022-01-27,5.0
2022-01-28,7.0
2022-01-29,11.0
2022-01-30,3.0
2022-01-31,4.0
2022-02-01,5.0
2022-02-02,5.0
2022-02-03,7.0
2022-02-04,2.0
2022-02-05,4.0
2022-02-06,6.0
2022-02-07,4.0
2022-02-08,5.0
2022-02-09,9.0
2022-02-10,8.0
2022-02-11,7.0
2022-02-12,11.0
2022-02-13,6.0
2022-02-14,3.0
2022-02-15,5.0
2022-02-16,5.0
2022-02-17,10.0
2022-02-18,11.0
2022-02-19,12.0
2022-02-20,10.0
2022-02-21,4.0
2022-02-22,6.0
2022-02-23,8.0
2022-02-24,13.0
2022-02-25,19.0
2022-02-26,24.0
2022-02-27,12.0
2022-02-28,9.0
2022-03-01,6.0
2022-03-02,10.0
2022-03-03,11.0
2022-03-04,14.0
2022-03-05,22.0
2022-03-06,12.0
2022-03-07,5.0
2022-03-08,4.0
2022-03-09,9.0
2022-03-10,12.0
2022-03-11,9.0
2022-03-12,18.0
2022-03-13,11.0
2022-03-14,7.0
2022-03-15,8.0
2022-03-16,12.0
2022-03-17,17.0
2022-03-18,13.0
2022-03-19,24.0
2022-03-20,8.0
2022-03-21,7.0
2022-03-22,12.0
2022-03-23,16.0
2022-03-24,20.0
2022-03-25,18.0
2022-03-26,33.0
2022-03-27,16.0
2022-03-28,12.0
2022-03-29,19.0
2022-03-30,18.0
2022-03-31,23.0
2022-04-01,30.0
2022-04-02,39.0
2022-04-03,18.0
2022-04-04,14.0
2022-04-05,15.0
2022-04-06,16.0
2022-04-07,22.0
2022-04-08,22.0
2022-04-09,29.0
2022-04-10,15.0
2022-04-11,8.0
2022-04-12,12.0
2022-04-13,12.0
2022-04-14,17.0
2022-04-15,21.0
2022-04-16,36.0
2022-04-17,11.0
2022-04-18,13.0
2022-04-19,18.0
2022-04-20,33.0
2022-04-21,30.0
2022-04-22,37.0
2022-04-23,23.0
2022-04-24,23.0
2022-04-25,13.0
2022-04-26,16.0
2022-04-27,16.0
2022-04-28,25.0
2022-04-29,41.0
2022-04-30,22.0
2022-05-01,17.0
2022-05-02,8.0
2022-05-03,16.0
2022-05-04,16.0
2022-05-05,19.0
2022-05-06,20.0
2022-05-07,20.0
2022-05-08,19.0
2022-05-09,12.0
2022-05-10,14.0
2022-05-11,15.0
2022-05-12,25.0
2022-05-13,27.0
2022-05-14,17.0
2022-05-15,18.0
2022-05-16,15.0
2022-05-17,15.0
2022-05-18,22.0
2022-05-19,14.0
2022-05-20,53.0
2022-05-21,9.0
2022-05-22,19.0
2022-05-23,15.0
2022-05-24,15.0
2022-05-25,15.0
2022-05-26,26.0
2022-05-27,15.0
2022-05-28,5.0
2022-05-29,29.0
2022-05-30,12.0
2022-05-31,16.0
2022-06-01,12.0
2022-06-02,21.0
2022-06-03,24.0
2022-06-04,37.0
2022-06-05,15.0
2022-06-06,12.0
2022-06-07,16.0
2022-06-08,15.0
2022-06-09,26.0
2022-06-10,25.0
2022-06-11,39.0
2022-06-12,26.0
2022-06-13,12.0
2022-06-14,16.0
2022-06-15,0.0
2022-06-16,26.0
2022-06-17,11.0
2022-06-18,21.0
2022-06-19,42.0
2022-06-20,19.0
2022-06-21,19.0
2022-06-22,23.0
2022-06-23,13.0
2022-06-24,3.0
2022-06-25,20.0
2022-06-26,37.0
2022-06-27,15.0
2022-06-28,16.0
2022-06-29,21.0
2022-06-30,42.0
2022-07-01,34.0
2022-07-02,29.0
2022-07-03,22.0
2022-07-04,7.0
2022-07-05,12.0
2022-07-06,19.0
2022-07-07,21.0
2022-07-08,27.0
2022-07-09,13.0
2022-07-10,34.0
2022-07-11,15.0
2022-07-12,19.0
2022-07-13,19.0
2022-07-14,29.0
2022-07-15,28.0
2022-07-16,11.0
2022-07-17,31.0
2022-07-18,16.0
2022-07-19,19.0
2022-07-20,23.0
2022-07-21,26.0
2022-07-22,30.0
2022-07-23,52.0
2022-07-24,33.0
2022-07-25,14.0
2022-07-26,17.0
2022-07-27,20.0
2022-07-28,31.0
2022-07-29,32.0
2022-07-30,46.0
2022-07-31,28.0
2022-08-01,17.0
2022-08-02,13.0
2022-08-03,24.0
2022-08-04,31.0
2022-08-05,29.0
2022-08-06,44.0
2022-08-07,22.0
2022-08-08,15.0
2022-08-09,15.0
2022-08-10,19.0
2022-08-11,27.0
2022-08-12,30.0
2022-08-13,45.0
2022-08-14,31.0
2022-08-15,19.0
2022-08-16,15.0
2022-08-17,18.0
2022-08-18,28.0
2022-08-19,29.0
2022-08-20,64.0
2022-08-21,34.0
2022-08-22,16.0
2022-08-23,12.0
2022-08-24,21.0
2022-08-25,26.0
2022-08-26,28.0
2022-08-27,58.0
2022-08-28,30.0
2022-08-29,16.0
2022-08-30,21.0
2022-08-31,24.0
2022-09-01,19.0
2022-09-02,28.0
2022-09-03,43.0
2022-09-04,14.0
2022-09-05,20.0
2022-09-06,15.0
2022-09-07,24.0
2022-09-08,30.0
2022-09-09,38.0
2022-09-10,48.0
2022-09-11,30.0
2022-09-12,20.0
2022-09-13,24.0
2022-09-14,22.0
2022-09-15,32.0
2022-09-16,31.0
2022-09-17,55.0
2022-09-18,33.0
2022-09-19,18.0
2022-09-20,20.0
2022-09-21,23.0
2022-09-22,28.0
2022-09-23,39.0
2022-09-24,46.0
2022-09-25,28.0
2022-09-26,15.0
2022-09-27,23.0
2022-09-28,21.0
2022-09-29,34.0
2022-09-30,28.0
2022-10-01,46.0
2022-10-02,28.0
2022-10-03,21.0
2022-10-04,17.0
2022-10-05,24.0
2022-10-06,29.0
2022-10-07,35.0
2022-10-08,45.0
2022-10-09,30.0
2022-10-10,18.0
2022-10-11,20.0
2022-10-12,21.0
2022-10-13,26.0
2022-10-14,25.0
2022-10-15,54.0
2022-10-16,33.0
2022-10-17,18.0
2022-10-18,19.0
2022-10-19,27.0
2022-10-20,25.0
2022-10-21,25.0
2022-10-22,50.0
2022-10-23,24.0
2022-10-24,21.0
2022-10-25,20.0
2022-10-26,20.0
2022-10-27,26.0
2022-10-28,37.0
2022-10-29,59.0
2022-10-30,34.0
2022-10-31,19.0
2022-11-01,20.0
2022-11-02,22.0
2022-11-03,24.0
2022-11-04,35.0
2022-11-05,48.0
2022-11-06,24.0
2022-11-07,22.0
2022-11-08,8.0
2022-11-09,14.0
2022-11-10,13.0
2022-11-11,7.0
2022-11-12,8.0
2022-11-13,30.0
2022-11-14,21.0
2022-11-15,25.0
2022-11-16,20.0
2022-11-17,33.0
2022-11-18,34.0
2022-11-19,42.0
2022-11-20,25.0
2022-11-21,22.0
2022-11-22,19.0
2022-11-23,18.0
2022-11-24,4.0
2022-11-25,16.0
2022-11-26,26.0
2022-11-27,21.0
2022-11-28,16.0
2022-11-29,20.0
2022-11-30,30.0
2022-12-01,32.0
2022-12-02,33.0
2022-12-03,45.0
2022-12-04,32.0
2022-12-05,21.0
2022-12-06,21.0
2022-12-07,25.0
2022-12-08,32.0
2022-12-09,36.0
2022-12-10,52.0
2022-12-11,34.0
2022-12-12,20.0
2022-12-13,17.0
2022-12-14,28.0
2022-12-15,29.0
2022-12-16,46.0
2022-12-17,53.0
2022-12-18,28.0
2022-12-19,22.0
2022-12-20,18.0
2022-12-21,16.0
2022-12-22,17.0
2022-12-23,20.0
2022-12-24,21.0
2022-12-25,3.0
2022-12-26,12.0
2022-12-27,16.0
2022-12-28,20.0
2022-12-29,21.0
2022-12-30,30.0
2022-12-31,37.0
2023-01-01,17.0
2023-01-02,12.0
2023-01-03,11.0
2023-01-04,15.0
2023-01-05,21.0
2023-01-06,34.0
2023-01-07,36.0
2023-01-08,26.0
2023-01-09,15.0
2023-01-10,17.0
2023-01-11,17.0
2023-01-12,26.0
2023-01-13,28.0
2023-01-14,32.0
2023-01-15,30.0
2023-01-16,16.0
2023-01-17,12.0
2023-01-18,23.0
2023-01-19,17.0
2023-01-20,26.0
2023-01-21,26.0
2023-01-22,25.0
2023-01-23,13.0
2023-01-24,15.0
2023-01-25,22.0
2023-01-26,30.0
2023-01-27,31.0
2023-01-28,40.0
2023-01-29,29.0
2023-01-30,17.0
2023-01-31,17.0
2023-02-01,15.0
2023-02-02,22.0
2023-02-03,27.0
2023-02-04,35.0
2023-02-05,22.0
2023-02-06,19.0
2023-02-07,17.0
2023-02-08,23.0
2023-02-09,25.0
2023-02-10,30.0
2023-02-11,42.0
2023-02-12,16.0
2023-02-13,14.0
2023-02-14,29.0
2023-02-15,23.0
2023-02-16,37.0
2023-02-17,26.0
2023-02-18,42.0
2023-02-19,25.0
2023-02-20,17.0
2023-02-21,25.0
2023-02-22,24.0
2023-02-23,31.0
2023-02-24,42.0
2023-02-25,46.0
2023-02-26,23.0
2023-02-27,21.0
2023-02-28,30.0
2023-03-01,17.0
2023-03-02,25.0
2023-03-03,33.0
2023-03-04,35.0
2023-03-05,19.0
2023-03-06,12.0
2023-03-07,18.0
2023-03-08,14.0
2023-03-09,18.0
2023-03-10,17.0
2023-03-11,40.0
2023-03-12,21.0
2023-03-13,12.0
2023-03-14,12.0
2023-03-15,21.0
2023-03-16,18.0
2023-03-17,25.0
2023-03-18,28.0
2023-03-19,17.0
2023-03-20,9.0
2023-03-21,6.0
2023-03-22,14.0
2023-03-23,12.0
2023-03-24,16.0
2023-03-25,20.0
2023-03-26,11.0
2023-03-27,10.0
2023-03-28,9.0
2023-03-29,9.0
2023-03-30,16.0
2023-03-31,15.0
2023-04-01,15.0
2023-04-02,11.0
2023-04-03,9.0
2023-04-04,6.0
2023-04-05,5.0
2023-04-06,9.0
2023-04-07,9.0
2023-04-08,10.0
2023-04-09,9.0
2023-04-10,9.0
2023-04-11,7.0
2023-04-12,6.0
2023-04-13,11.0
2023-04-14,10.0
2023-04-15,15.0
2023-04-16,10.0
2023-04-17,8.0
2023-04-18,6.0
2023-04-19,9.0
2023-04-20,12.0
2023-04-21,8.0
2023-04-22,13.0
2023-04-23,9.0
2023-04-24,9.0
2023-04-25,6.0
2023-04-26,5.0
2023-04-27,10.0
2023-04-28,8.0
2023-04-29,10.0
2023-04-30,9.0
2023-05-01,4.0
2023-05-02,3.0
2023-05-03,2.0
2023-05-04,4.0
2023-05-05,4.0
2023-05-06,6.0
2023-05-07,4.0
2023-05-08,3.0
2023-05-09,3.0
2023-05-10,3.0
2023-05-11,3.0
2023-05-12,2.0
2023-05-13,2.0
2023-05-14,4.0
2023-05-15,4.0
2023-05-16,2.0
2023-05-17,2.0
2023-05-18,3.0
2023-05-19,4.0
2023-05-20,4.0
2023-05-21,3.0
2023-05-22,3.0
2023-05-23,2.0
2023-05-24,2.0
2023-05-25,4.0
2023-05-26,2.0
2023-05-27,2.0
2023-05-28,3.0
2023-05-29,3.0
2023-05-30,4.0
2023-05-31,3.0
2023-06-01,3.0
